,machine_id,session_id,orig_review,mhi_change,review,until,additional_info,features
0,5eb5ab2ea9a5660001b3c470,5f7b93ab05d06a534da87405,True,False,IGNORE,2020-10-05 21:00:01,,vibration_acc_p2p_percentiles
1,5fa2cc43ed7e450001ed1f68,603d967fe0fc77232b3f9090,True,False,IGNORE,2021-03-02 01:00:02,,vibration_vel_order__0
2,5f16d3f0ab44ba000132f493,6034f78dacb93247e6aad639,True,False,True,2021-02-23 12:00:01,Step function,vibration_vel_order__0
3,5f461af6de69c7000158aab9,61079e73f2c9d5621b33461f,True,1 -> 1,False,2021-08-02 07:00:01,Nonsense,vibration_vel_order__0
4,5f57b56f2a08ae0001f9ac6c,5fcb614240de7f76bae97870,True,False,True,2020-12-05 10:00:01,Good trend,vibration_vel_rms
5,5ddbf1a1c8231800013d2c02,5fc5e98d3cd93b6251e530c4,True,False,True,2020-12-01 06:00:01,Non linear trend,vibration_vel_rms
6,5b292877cfd1f40001f27054,5f8d2f9bf87c886345e47063,True,1 -> 2,True,2020-10-19 06:00:01,Step function,vibration_vel_rms
7,5c7d6eea0851b700014e6f84,607be87a9aa860533433d318,True,False,True,2021-04-18 08:00:01,Good trend,vibration_vel_rms
8,5cc70cb4082a51000142c057,6037be77e3847e49855d2d30,True,False,False,2021-02-25 15:00:01,Small trend,vibration_vel_rms
9,5c1d1d5bfc88f80001c62c6f,60996a5b3a5ae23c5e2c645e,True,1 -> 1,IGNORE,2021-05-10 15:00:01,,vibration_acc_p2p_percentiles
10,5f16d05fecca5100012dd560,5fd2d17f617f201d65e6e44b,True,False,True,2020-12-11 01:00:01,Step function,vibration_vel_rms
11,5facf768e347b700012f541a,60c383367b9eeb73f01de83c,True,False,True,2021-06-11 15:00:01,Non linear trend,vibration_vel_rms
12,5f6de1f3a6ccb60001ad1026,6049cf40acf206267738ed4d,True,False,True,2021-03-11 08:00:01,Good trend,vibration_acc_p2p_percentiles
13,5f16ab1dab44ba000132cfe3,5fc0e3c23b838613a7c60093,True,False,False,2020-11-27 11:00:01,Cliff,vibration_vel_order__0
14,5eeb60c9ac230e00012794e8,5fdcb02a07a1ba0c9255e97b,False,False,False,2020-12-18 13:00:01,Cliff,vibration_vel_order__0
15,5f16d585ab44ba000132f5ce,6097ce31e9940923d7903f12,False,False,True,2021-05-09 11:00:01,Step function,vibration_vel_rms
16,5f776883afdb3c0001bc370e,60e95a5666e3d467dc45c469,True,False,True,2021-07-10 06:00:01,Small trend,vibration_vel_rms
17,5ea6cb80972dfb0001171a56,5f65356c52fb2c5b6d79f410,True,1 -> 1,False,2020-09-18 19:00:01,Nonsense,vibration_vel_order__0
18,6010404cdb982b0001fdb02d,60ccff70c6867f706f9060e4,True,False,True,2021-06-18 18:00:01,Non linear trend,vibration_vel_order__0
19,5f46200c008c8a000150d081,60f6c7f02860877e773fd3b9,True,False,False,2021-07-20 12:00:01,Transient,vibration_acc_p2p_percentiles
20,5fb8c7047fbd100001c91054,6108e19131eaa77f1c871085,True,0 -> 1,True,2021-08-03 06:00:01,Step function,vibration_vel_order__0
21,5ca50463ee09030001f4a963,603a8d0408fe645c3fff9b16,True,False,False,2021-02-27 16:00:01,Transient,vibration_acc_p2p_percentiles
22,5d3e87d9d124960001c18a04,602a17f25e6c0247689fb641,True,False,True,2021-02-15 06:00:01,Good trend,vibration_vel_order__0
23,5e8f60d88018a4000161b39f,5f9b506c56ad970b93bdf1e6,True,False,True,2020-10-29 23:00:01,Good trend,vibration_vel_order__0
24,5f54eab8d8ef2c000183085b,60a17539f239e05e6c896f1a,False,False,False,2021-05-16 19:00:01,Cliff,vibration_vel_order__0
25,5be9fd3b2cdb1500013c9c1c,5fc18787076a6548772581fc,True,False,False,2020-11-27 21:00:01,Cliff,vibration_vel_rms
26,5c8a9b025035b20001836e9b,60c7569136ae090e93966ca1,False,False,IGNORE,2021-06-14 13:00:01,,vibration_vel_order__0
27,5d3082c3659bd20001eb562e,608164e95f4cbf56bf7aacc1,True,False,False,2021-04-22 09:00:01,Cliff,vibration_acc_p2p_percentiles
28,5f54db0175460200017587b2,5fda23cfd0987e113a1fd74e,True,False,True,2020-12-16 15:00:01,Step function,vibration_vel_order__0
29,5d5ebd3736c60e0001e06a74,60637638fb385c621bba8a9d,True,False,True,2021-03-30 17:00:01,Good trend,vibration_acc_p2p_percentiles
30,5f8d9fd4a64a7b000151e204,609be8f47fda9c16789fe526,True,1 -> 2,IGNORE,2021-05-12 14:00:01,,vibration_vel_order__0
31,5f54f1277546020001759df1,5fcdee893847ee074ca7633e,False,False,False,2020-12-07 08:00:01,Small trend,vibration_acc_p2p_percentiles
32,5e1612f51d33b30001feaf0e,606de61f96604f0d38cf109e,True,False,IGNORE,2021-04-07 15:00:01,,vibration_vel_order__0
33,5eeb6208fca35900011ffa00,61183bed99b75ae3ee854588,True,False,True,2021-08-14 21:00:01,Small trend,vibration_vel_rms
34,5f595262f3608100010e763b,6096e2f38f6fcc006264dc95,True,False,False,2021-05-08 19:00:01,Cliff,vibration_vel_order__0
35,5fabf660e347b700012de7f7,6001ad325421c65942cae434,True,False,True,2021-01-15 14:00:01,Small trend,vibration_vel_rms
36,5f461a8fde69c7000158aa86,611bc2fbecd3e74f25f0b6fe,True,False,False,2021-08-17 14:00:01,Cliff,vibration_acc_p2p_percentiles
37,5c425d57a81e6a000160b4c3,60c7c70ecacfb518a0161ce4,True,False,IGNORE,2021-06-14 19:00:01,,vibration_vel_rms
38,5cd06cdf16075400015d9f1a,60332e47b9f9be118c74c2ea,False,False,False,2021-02-22 02:00:01,Cliff,vibration_vel_order__0
39,5ede0f0fd624f40001c1d59d,60e50bfee3ced621daa68ce1,True,False,True,2021-07-07 00:00:01,Good trend,vibration_vel_rms
40,5d87227dcb147a0001028ae6,6117189c27b2ee700550af06,True,0 -> 1,True,2021-08-13 23:00:01,Small trend,vibration_vel_rms
41,5e5d0dc66b4d3d0001a03c60,6012f6bcdf48473ef75ddac8,True,False,True,2021-01-28 17:00:01,Good trend,vibration_acc_p2p_percentiles
42,5f07e8717a58cf000169f1b7,60029b6b5b71e2729b4bc6f7,True,False,True,2021-01-16 07:00:01,Good trend,vibration_vel_order__0
43,5fb0d7d9e347b7000132fc6c,60362b165e4e34212d4f4c70,True,False,False,2021-02-24 10:00:01,Cliff,vibration_vel_order__0
44,5d5d8eaf8b9ce10001698243,60007a8e997ab864faf7a7ed,True,False,False,2021-01-14 15:00:07,Nonsense,vibration_acc_p2p_percentiles
45,5ec3fe3ec63d77000131a0b1,607210d8f355ea67a9693518,True,False,False,2021-04-10 20:00:01,Transient,vibration_vel_rms
46,5d5ebf9436c60e0001e06bb9,5fed0f78c0b5eb59ebc0c975,True,False,True,2020-12-30 23:00:01,Small trend,vibration_vel_rms
47,5e5d08533ce9c600013233c1,611f09e3a3423f0f328e67c1,True,False,True,2021-08-20 01:00:01,Good trend,vibration_acc_p2p_percentiles
