machine_id,session_id,orig_review,mhi_change,review,until,additional_info,features
5d657d47a514740001720aec,5fee72d8c3df2b5c226c5f4f,False,False,False,2021-01-01 00:00:01,Cliff,
5d65877f1e680b0001385b9b,6056811b8575a73d16a91b33,False,False,False,2021-03-20 21:00:05,Nonsense,
5de58029b75b7b0001f1b3e8,5ffac072d98b9460aa04be22,True,False,False,2021-01-10 08:00:01,Cliff,
5d74efe5550b33000173c656,5fff31ebcd5b5f44176acd80,True,False,True,2021-01-13 17:00:01,Good trend,vibration_acc_p2p_percentiles
5cd19cb316075400015e10cc,5feebca3fb33c813401d76d3,False,False,False,2021-01-01 06:00:01,Small trend,
5d657c40a5147400017209b3,5feec089ac38e010858ef994,False,False,False,2021-01-01 06:00:01,Cliff,
5c1e4e07fc88f80001c6772c,6042a3db32af8f164507588a,True,False,True,2021-03-05 21:00:01,Good trend,vibration_vel_rms
5ba2b255c04bf50001e96cf2,605c648e650295102d97131e,True,False,False,2021-03-25 10:00:01,Cliff,
5f0569aac232080001cc99a7,5feef17cd7c696178be5c758,False,False,True,2021-01-01 09:00:01,Good trend,vibration_acc_p2p_percentiles
5f5281f7f3b4d400014c1c56,5ff74919d3a44a2591e8dcfb,False,False,False,2021-01-07 17:00:01,Cliff,
5f54dd067546020001758ad1,6039ecf34b88c304f7c36533,True,False,True,2021-02-27 06:00:01,Good trend,vibration_vel_rms
5ded85e6c6552f00017c5067,600873ac922f8442477d3560,True,1 -> 2,True,2021-01-20 16:00:01,Good trend,vibration_vel_rms
5f57b56e2a08ae0001f9ac47,5fef4563c8e23f2b4f58d775,True,False,True,2021-01-01 15:00:01,Good trend,vibration_acc_p2p_percentiles
5de7d8b6e49f1a000137c794,60aa47610390ba2dfdb4bf0f,True,False,False,2021-05-23 11:00:01,Cliff,
5f7321251830bc00015b3768,5fef63151f713b6cde11fc4f,False,False,False,2021-01-01 17:00:01,Nonsense,
5ef5fccf4db9b00001824c52,608ea1923a4f4f15401cfaf6,False,False,False,2021-05-02 12:00:01,Cliff,
5ded00d1f900950001fefb92,60297863e4af96496340aa1c,True,False,True,2021-02-14 19:00:01,Good trend,vibration_vel_rms
5f5fca23ef7bf40001810b6f,6027131ed7d1df272e288ab7,True,False,True,2021-02-12 23:00:01,Good trend,vibration_acc_rms
5f16af40ecca5100012db6b3,5fefa3fc7dce3517f14d65b7,False,False,False,2021-01-01 22:00:01,Small trend,
5f54db83d8ef2c000182f6b7,5fefc893fbab9f20c3890ae0,False,False,True,2021-01-02 01:00:01,Good trend,vibration_vel_order__0
5c75ffb2517fa800017d6cb3,5fefdad0cd78562e29840493,True,False,False,2021-01-02 02:00:01,Cliff,
5f54dd497546020001758bf5,5fefe4def9d8566aa94efd4d,True,False,True,2021-01-02 03:00:01,Good trend,vibration_acc_rms
5f16d89decca5100012ddf95,602b902bccbec95b46a3ef28,False,False,True,2021-02-16 07:00:01,Good trend,vibration_vel_order__0
5f16c1dbecca5100012dc84e,5ff5c5a0f974db469283d36d,False,False,True,2021-01-06 13:00:01,Good trend,vibration_vel_rms
5f16b3f5ecca5100012dba55,60238eb830ad78698c94c910,True,0 -> 1,True,2021-02-10 07:00:01,Good trend,vibration_vel_rms
5f6875af32513a0001e76a3f,5ff034bdd1917b4d2cbee4d9,False,False,False,2021-01-02 08:00:01,Nonsense,
5f54ff57d8ef2c0001831b89,5ff040e93dfb9b73538b3efe,False,False,False,2021-01-02 09:00:01,Small trend,
5b8fff377772b400012a3779,5ff04cf943830a725dd6f42d,False,False,False,2021-01-02 10:00:01,Small trend,
5c473d0ba81e6a000161f0bf,5ffb9034752da145b719d575,True,False,True,2021-01-10 21:00:01,Good trend,vibration_vel_order__0
5f16ba1bab44ba000132dc0c,602442b4c6589a4c0e86e982,False,False,False,2021-02-10 18:00:01,Cliff,
5f16d48aab44ba000132f596,6040c90d7fbf945d184ba906,False,False,False,2021-03-04 11:00:01,Small trend,
5e175a3e68cc7e0001324585,601e2f3bed9b6a2aa688cbee,False,False,IGNORE,2021-02-06 03:00:01,,
5f686c4332513a0001e761cb,607bf3974a35c55b167ad872,False,False,True,2021-04-18 08:00:01,Good trend,vibration_vel_rms
5de7dfd88bb6590001bbb4c7,6058e9217b819114454f5661,True,False,IGNORE,2021-03-22 17:00:01,,
5f595ef8ff91700001653257,5ff9795c7d1c6c709b9cf404,True,False,True,2021-01-09 09:00:01,Good trend,vibration_vel_order__0
5f05623af684b00001baf229,6040132d33196e685fda4164,False,False,False,2021-03-03 22:00:01,Small trend,
5f6a242e33c68800014dd8b1,605df184179b2347d469fd79,True,False,True,2021-03-26 12:00:01,Good trend,vibration_vel_order__0
5f54eac675460200017599eb,607389dd9aa86053342b35fd,False,False,IGNORE,2021-04-11 21:00:01,,
5f6a27e336c5ab00018cfecb,60355749cd05a943378d31d1,True,False,False,2021-02-23 17:00:01,Cliff,
5f6b5cc433c68800014f4234,606de47c0cc4aa30f29be2b5,True,False,True,2021-04-07 14:00:01,Good trend,vibration_acc_rms
